sample_ID;compound;Ueff_ff;tau0_ff;C;n;tau_qtm;g_y
483;[DyCd2(PIDC)(HPIDC)(H2O)5Cl2]·3H2O;53;1.86E-08;0.126;5;23.6;1.33
756;[Dy(BIPMTMS)(BIPMTMSH)];255;3.55E-12;1.46E-05;7;0.00926;1.33
871;Tm(dmf)4(H2O)3(m-CN)CoIII(CN)5·1.25H2O;24.8;3.45E-07;3.4;5.4;3.1;1.34
876;[Tm(COT)I(THF)2];7.93;0.000118;0.059;6.2;0.00268;1.35
877;[K(18-crown-6)(THF)2][Tm(COT)2];53.3;0.000128;0.01;3.66;0.371;1.36
923;[(LCO)Dy(N*)2];190;1.70E-07;0.19;3.46;0.0044;1.33
924;Tb(HL)2(NO3)3;58.8;6.31E-08;0.24;3.91;0.037;1.5
925;Ho(HL)2(NO3)3;61.7;2.35E-09;0.056;4.08;0.0691;1.25
926;Er(HL)2(NO3)3;110.8;6.77E-12;0.00046;5;0.137;1.2
927;Lu0.5Er0.5(HL)2(NO3)3;58.38;1.24E-23;0.0056;5;0.0017;1.2
1048;[Dy(Tppy)F(dioxane)](PF6);470;1.48E-11;0.000942;3.46;0.76;1.33
1049;[Dy(Tppy)F(pyridine)2](PF6);336;9.36E-10;0.000223;4.42;0.0427;1.33
1055;[Li(THF)4][TbFc3(THF)2Li2];394;3.78E-10;1.99;2.25;0.00269;1.5
1118;{[Nd(pzdo)(H2O)4][CoIII(CN)6]}·0.5(pzdo)·4H2O;51;4.50E-08;0.09;5.6;2.2;0.727272727
1131;"[Dy(dbpy)(tcpb)3]·0.5(1;4-dioxane)";149.87;1.08E-09;0.00265;7.03;0.001;1.33
1132;[Dy(bath)(tcpb)3];167.87;2.83E-09;0.078;4.9;0.067;1.33
1208;[Dy(OPPh3)3(NO3)3];37.3;4.80E-06;0.16;7.1;0.04;1.33
1210;[Dy(OPPh3)3Cl3];35.1;1.30E-05;0.058;8;0.045;1.33
1360;"[Dy(tmpd)3(4;4′-dmpy)]";66;9.05E-07;0.125;3.72;0.000218;1.33
1361;"[Dy(tffb)3(4;4′-dmpy)]";189;6.53E-09;0.464;3.59;0.000681;1.33
1362;"[Dy(tffb)3(5;5′-dmpy)]";115;2.76E-08;0.56;3.71;0.000184;1.33
1363;"[Dy(tmpd)3(5;5′-dmpy)]";205;2.76E-08;0.008;5.1;2.56E-10;1.33
1;Dy5;22170.2;4.20E-11;3.11E-09;3.01;2.52E+05;1.33E+00
2;Dy6;2217.2;4.20E-12;3.11E-08;3.01;2.52E+04;1.33E+00
3;Dy@C81N;0;0;2.9E-08;3.3;422;6.63
783;Dy3;735.4;1.56E-12;0;0;0;1.33
1093;Dy4;464.0;1.83E-09;0;0;0;1.33
135;Dy5;30.24;1.2E-07;0;0;0;1.33
1132;Dy;167.87;2.83E-09;0.078;4.9;0.067;1.33
